section,metric,value,std,ci_low,ci_high,threshold
cv,acc,0.9102221428146031,0.010748004179825016,,,
cv,prec,0.9189582480350158,0.0110040741862621,,,
cv,rec,0.9730821465622939,0.004003250505145752,,,
cv,f1,0.945208356060998,0.006193055750791712,,,
cv,bal_acc,0.8195349487974551,0.02563593002625824,,,
cv,spec,0.6659877510326165,0.05111962799675882,,,
cv,mcc,0.7070637819029859,0.039444703636513256,,,
cv,roc_auc,0.9342414930603293,0.016471535989686613,,,
cv,pr_auc,0.9778524939075679,0.005775702529014045,,,
cv,brier,0.07885343898239378,0.009684888961226518,,,
test,acc,0.908256880733945,,0.8876146788990825,0.926605504587156,0.31
test,prec,0.9201065246338216,,0.900397003188212,0.9392378207437653,0.31
test,rec,0.9718706047819972,,0.9585120118248357,0.9833570256760962,0.31
test,f1,0.945280437756498,,0.9327740662010324,0.9564033154421534,0.31
test,bal_acc,0.7995998986642905,,0.763769489466434,0.8354107530504633,0.31
test,spec,0.6273291925465838,,0.5531852315394243,0.7006162998677968,0.31
test,mcc,0.6725223819819304,,0.6042549116703515,0.7339223950113576,0.31
test,roc_auc,0.9287374094748888,,0.9046478413303434,0.950153867653925,0.31
test,pr_auc,0.9789690568947986,,0.9676846510748344,0.9880907430352533,0.31
test,brier,0.08037835071015757,,0.06540100384911769,0.0966271777433168,0.31
