source,precision,recall,mAP50,mAP50_95,box_loss,class_loss,dfl_loss,mAP75
final_epoch,0.56195,0.64861,0.61683,0.36556,1.31796,1.28808,1.45703,
test_split,0.5392091333162979,0.5673021246879388,0.5714808460807237,0.3509004670140274,,,,0.3744185473861379
