epoch,train_loss,val/mae,val/accuracy,val/precision_hazard,val/recall_hazard,val/f1_hazard,val/confusion_matrix,val/roc_auc,val/average_precision,val/loss,seconds
1,0.37604607343673707,0.4211921007823079,0.41935483870967744,0.8333333333333334,0.22727272727272727,0.35714285714285715,"[[8, 1], [17, 5]]",0.7222222222222222,0.8481815500056678,0.8003272452662068,235.2
2,0.3118163630186793,0.3030780048800572,0.6774193548387096,0.8333333333333334,0.6818181818181818,0.75,"[[6, 3], [7, 15]]",0.803030303030303,0.8847492591902704,0.5865301893603417,127.6
3,0.2690657503633614,0.3809137823240411,0.4838709677419355,0.875,0.3181818181818182,0.4666666666666667,"[[8, 1], [15, 7]]",0.7828282828282828,0.8825008006357671,0.7870394126061471,82.4
4,0.24206037894788995,0.3374206203696949,0.5806451612903226,0.9090909090909091,0.45454545454545453,0.6060606060606061,"[[8, 1], [12, 10]]",0.8181818181818181,0.8959608003856433,0.7059319076999542,60.8
5,0.2143487632992756,0.310100246986915,0.6774193548387096,0.9285714285714286,0.5909090909090909,0.7222222222222222,"[[8, 1], [9, 13]]",0.7929292929292929,0.8844166891837872,0.6785262496240677,42.4
6,0.20391097305768943,0.2902746967700941,0.6774193548387096,0.9285714285714286,0.5909090909090909,0.7222222222222222,"[[8, 1], [9, 13]]",0.8131313131313131,0.8922507461084015,0.6327317433972512,37.9
7,0.19773094639720687,0.31906518409208906,0.6774193548387096,0.9285714285714286,0.5909090909090909,0.7222222222222222,"[[8, 1], [9, 13]]",0.8282828282828283,0.8977895097034311,0.6868746915171223,34.3
8,0.20180922315781374,0.2916174761560415,0.7096774193548387,0.9333333333333333,0.6363636363636364,0.7567567567567568,"[[8, 1], [8, 14]]",0.8282828282828283,0.8973608533924218,0.6339718295681861,33.2
