,precision,recall,f1-score,support
safe,0.4572192513368984,0.7702702702702703,0.5738255033557047,222.0
hazard,0.8975903614457831,0.6876923076923077,0.7787456445993032,650.0
accuracy,0.7087155963302753,0.7087155963302753,0.7087155963302753,0.7087155963302753
macro avg,0.6774048063913407,0.728981288981289,0.676285573977504,872.0
weighted avg,0.7854775329547596,0.7087155963302753,0.7265756086404972,872.0
